xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Faulty
0.75838,3663.5,4476.8,9.3447,26.998,42.529,2738.2,72.619,120.42,0.3566,79.708,49.535,2669.3,26.503,49.431,3125.8,22.413,72.081,391.77,353.93,93.959,77.926,33.278,8.8611,25.966,6.5874,17.791,1.6613,34.301,13.885,23.648,1.1923,17.492,2.371,4.7997,2.2788,0.016534,0.75238,0.081973,53.241,44.223,63.444,53.28,74.678,60.75,25.211,40.88,36.731,45.218,99.597,42.895,19.416,1
0.66221,3670.3,4601.8,9.2011,26.932,42.696,2777.7,74.51,120.37,0.31903,78.91,49.721,2711.6,21.748,50.782,3159,21.805,71.55,386.04,356.97,93.856,77.601,33.723,8.8062,27.315,6.8145,17.335,1.6662,34.598,13.739,25.311,0.92139,16.217,2.2431,4.6817,2.242,-0.0073498,0.68205,0.088051,53.316,44.468,63.48,55.126,64.703,60.63,27.6,35.945,37.278,48.344,95.739,42.428,20.739,1
0.59159,3710.3,4629.7,8.9892,27.19,42.356,2784,76.593,120.42,0.31096,78.261,49.73,2717.5,23.764,52.022,3165,21.784,70.881,370.24,355.32,94.125,76.823,33.477,8.6069,27.444,6.724,17.201,1.6338,34.77,13.791,25.495,1.1701,16.159,2.2283,4.4655,2.1225,0.0053211,0.65773,0.086927,53.605,43.405,64.172,56.046,58.205,58.59,27.5,35.122,37.305,51.213,89.158,43.125,20.832,1
0.60748,3774.8,4678.4,8.8648,26.551,42.206,2776.2,76.11,120.42,0.30851,78.213,49.444,2708.5,24.167,50.361,3159.3,23.282,70.332,356.98,352.66,94.016,76.756,32.784,8.7042,28.138,6.959,16.86,1.6585,33.925,13.678,26.079,0.94535,16.027,2.2252,4.4609,2.2166,-0.0058504,0.67808,0.077858,53.594,43.868,64.707,55.362,60.065,58.984,26.281,35.345,36.464,47.37,83.933,43.091,17.345,1
0.68698,3670.3,4751.9,8.7867,26.822,42.122,2763.3,76.759,120.4,0.29341,78.206,49.712,2694.6,23.739,50.211,3149.9,22.38,69.683,335.08,348.21,94.58,76.362,32.293,8.5476,27.818,6.9118,17.884,1.5934,33.246,13.637,26.704,1.3101,16.623,2.2216,4.4461,2.0963,0.017208,0.67462,0.096782000000000007,53.125,44.103,63.719,55.615,67.234,56.535,25.476,34.733,37.253,47.022,77.085,41.099,19.603,1
0.68801,3701.9,4573,8.4015,26.722,41.466,2720.9,76.43,120.37,0.30572,79.416,50.8,2648.9,22.905,50.829,3117.2,22.174,68.763,294.02,338.16,94.947,76.538,31.777,8.85,27.113,6.9201,18.473,1.676,32.193,13.705,25.781,1.3007,17.87,2.2331,4.6602,2.1466,0.0050538,0.74314,0.090977,53.375,43.959,62.334,54.726,67.685,53.954,22.325,37.062,40.455,48.453,65.45,39.421,20.217,1
0.7733,3758.8,4495,8.4047,26.845,41.83,2679.2,76.624,120.39,0.31169,80.195,50.755,2605.9,26.01,51.33,3085.8,23.053,68.393,274.75,329.14,95.094,76.462,30.358,8.9557,26.375,6.9403,19.71,1.6571,31.193,13.701,24.854,1.2388,19.789,2.242,4.8807,2.2574,0.023788,0.83643,0.10781,53.717,44.47,63.154,53.573,76.391,54.362,19.464,38.33,40.322,49.613,60.723,39.959,18.249,1
0.84873,3628.6,4445.9,8.3439,26.847,42.017,2656,76.273,120.4,0.35349,81.203,50.019,2580.5,25.775,49.446,3068,22.229,68.548,266.71,324.24,95.305,76.892,30.86,8.8942,26.002,7.0193,20.237,1.7089,31.304,13.972,23.095,1.3278,20.386,2.2904,4.9812,2.3331,0.028138,0.91139,0.11543,53.413,43.461,61.589,53.391,84.121,55.631,17.658,43.891,38.156,45.252,60.302,38.862,20.191,1
0.89809,3551.7,4370,8.438,26.954,42.303,2650.8,74.962,120.4,0.33203,81.436,50.749,2575.2,26.363,49.564,3063.7,23.418,68.912,277.61,324.27,95.361,76.89,30.961,9.2024,24.9,6.8323,19.907,1.684,31.376,14.254,22.632,1.488,20.172,2.3043,5.0332,2.3024,0.0019124,0.94806,0.10955,54.198,44.125,62.211,52.937,88.172,55.115,17.759,41.702,40.304,45.525,63.672,39.476,17.332,1
0.91469,3690.9,4363.7,8.5686,27.143,42.364,2649.7,75,120.41,0.36291,81.491,48.977,2573.8,26.736,51.663,3063.8,23.346,69.009,285.14,324.5,94.964,77.443,31.239,9.1125,25.562,7.1938,20.259,1.7316,31.325,14.081,22.203,1.6994,20.366,2.2913,5.0927,2.4364,0.02671,0.95724,0.11498,54.703,43.812,62.555,52.889,89.499,56.23,17.596,45.25,35.089,50.383,65.722,40.181,17.462,1
