xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Faulty
0.23029,3690.1,4470.4,9.2955,26.58,42.128,2704.7,74.899,120.42,0.34871,80.252,50.073,2633.7,26.153,51.343,3102.3,23.632,65.784,233.27,341.42,94.674,77.519,32.403,8.9448,26.156,6.9508,19.112,1.6104,33.159,13.815,23.937,1.2901,18.295,2.2583,4.8385,2.2808,0.027164,0.82515,0.088933,52.969,43.438,62.808,54.094,22.842,62.027,22.223,41.436,38.314,49.641,48.191,41.187,16.475,0
0.23126,3662.6,4547.8,9.3745,27.016,42.518,2703.1,75.203,120.41,0.34716,80.177,49.002,2632,24.913,49.381,3099.8,23.07,65.845,231.74,341.6,94.497,77.037,32.403,8.9448,26.156,6.9508,19.112,1.6104,33.159,13.815,23.937,1.2901,18.295,2.2583,4.8385,2.2808,0.027164,0.82515,0.088933,52.969,43.438,63.282,53.168,22.747,62.514,22.113,41.625,35.164,45.1,48.326,41.675,17.837,0
0.23171,3663.8,4436.2,9.5109,26.949,42.396,2702.1,74.908,120.39,0.33749,80.085,50.055,2630.1,25.611,49.039,3099.2,23.771,65.842,232.39,341.49,94.677,77.46,32.386,8.8596,26.158,6.9168,18.655,1.6511,33.473,13.988,23.819,1.3413,18.502,2.2905,4.8441,2.307,0.027164,0.82515,0.088933,52.969,43.438,62.356,53.845,22.344,59.003,22.098,40.264,38.263,44.309,48.271,40.436,16.15,0
0.23036,3653.6,4505.8,9.4185,26.852,42.605,2704,74.269,120.4,0.3418,80.227,49.912,2632.3,26.043,49.291,3099.1,23.418,65.846,233.17,341.37,94.624,77.415,32.386,8.8596,26.158,6.9168,18.655,1.6511,33.473,13.988,23.819,1.3413,18.502,2.2905,4.8441,2.307,0.027164,0.82515,0.088933,52.969,43.438,62.531,53.012,22.476,62.583,22.319,39.739,37.841,44.893,48.201,41.198,16.986,0
0.22869,3647.4,4508.3,9.4207,27.054,42.28,2701,75.291,120.36,0.3599,80,48.395,2628.8,25.753,49.908,3098.8,22.985,65.845,231.7,341.34,94.793,77.027,32.051,8.9345,26.651,6.9388,18.842,1.637,32.919,13.77,23.827,1.2398,18.562,2.2614,4.8671,2.3372,0.027164,0.82515,0.088933,52.969,43.438,62.887,54.084,22.546,60.488,22.197,42.26,33.376,46.322,48.333,40.622,18.049,0
0.2296,3654.6,4502,9.337,26.761,41.979,2702,74.568,120.42,0.35894,80.038,48.184,2630.8,26,50.702,3098.5,22.6,65.812,232.52,341.34,94.617,77.281,32.051,8.9345,26.651,6.9388,18.842,1.637,32.919,13.77,23.827,1.2398,18.562,2.2614,4.8671,2.3372,0.010017,0.83895,0.088495,53.374,43.19,62.764,54.16,22.457,61.092,21.989,42.378,32.757,48.159,47.962,41.777,18.956,0
0.26219,3644.9,4488,9.4476,27.376,42.067,2702.5,75.311,120.4,0.33327,79.891,51.926,2630.7,22.8,49.37,3100,23.65,65.745,232.5,341.37,94.744,76.947,32.325,9.0891,26.953,6.9142,18.724,1.6589,32.702,13.737,24.181,1.2938,18.297,2.3088,4.8691,2.2708,0.010017,0.83895,0.088495,53.374,43.19,62.694,53.873,25.568,61.703,22.178,39.761,43.769,45.076,47.839,40.47,16.506,0
0.26236,3672.6,4496.8,9.2284,27.446,42.535,2705.5,75.651,120.43,0.33301,80.002,50.773,2634.2,24.564,51.287,3102.2,23.711,65.721,230.81,341.7,94.682,77.595,32.325,9.0891,26.953,6.9142,18.724,1.6589,32.702,13.737,24.181,1.2938,18.297,2.3088,4.8691,2.2708,0.010017,0.83895,0.088495,53.374,43.19,62.218,53.768,25.552,62.779,22.603,39.793,40.374,49.512,47.866,41.87,16.315,0
0.2344,3651.2,4550.3,9.3206,27.039,42.603,2709.7,74.787,120.39,0.32842,80.347,51.208,2638.9,25.495,49.239,3105.6,22.273,65.773,230.94,342.01,94.572,77.845,32.187,8.9158,26.438,6.7774,18.696,1.6575,32.81,13.726,23.8,1.3878,18.601,2.2506,4.7795,2.2759,0.010017,0.83895,0.088495,53.374,43.19,62.76,53.415,23.084,62.594,22.774,39.358,41.654,44.773,47.727,40.478,19.691,0
0.23399,3637.2,4500.7,9.3836,26.959,42.164,2709.1,74.661,120.4,0.32853,80.313,49.973,2637.9,25.486,49.572,3107.5,23.344,65.801,231.4,341.83,94.593,77.419,32.187,8.9158,26.438,6.7774,18.696,1.6575,32.81,13.726,23.8,1.3878,18.601,2.2506,4.7795,2.2759,0.010017,0.83895,0.088495,53.374,43.19,63,54.009,23.124,60.533,22.074,39.344,38.021,45.544,47.554,41.691,17.154,0
0.24571,3681.2,4555.9,9.4445,26.783,42.615,2710.2,74.233,120.41,0.3302,80.19,51.486,2639.6,25.037,50.442,3107.4,23.618,65.812,230.66,341.8,94.517,77.147,32.385,8.9637,26.665,6.858,19.031,1.6287,32.849,13.877,23.735,1.0826,18.816,2.269,4.8321,2.3186,0.01153,0.83414,0.10423,54.165,44.221,63.477,53.428,24.456,62.014,22.379,38.723,42.474,47.558,47.838,41.466,16.524,0
0.24596,3673.8,4490.6,9.3939,27.018,42.064,2709.8,75.453,120.42,0.32558,80.179,49.994,2639.1,25.118,51.36,3108.2,23.448,65.825,232.56,342.33,94.414,77.7,32.385,8.9637,26.665,6.858,19.031,1.6287,32.849,13.877,23.735,1.0826,18.816,2.269,4.8321,2.3186,0.01153,0.83414,0.10423,54.165,44.221,63.605,54.21,24.431,62.269,22.41,39.287,38.082,49.682,47.69,42.373,16.88,0
0.2273,3646.3,4497.8,9.4566,26.964,42.394,2711.3,74.938,120.39,0.34523,80.312,49.529,2640,25.854,48.135,3106.8,22.771,65.847,230.63,342.25,94.477,77.58,31.783,8.8928,26.741,6.9367,18.636,1.6844,32.81,13.861,24.442,1.3675,18.694,2.2848,4.7773,2.3031,0.01153,0.83414,0.10423,54.165,44.221,63.432,53.288,22.297,60.987,22.589,40.909,36.713,42.219,47.882,40.862,18.466,0
0.22593,3668.5,4454.5,9.4011,27.082,42.371,2707.3,74.634,120.4,0.34561,80.017,47.441,2635.3,24.524,49.908,3105.1,23.09,65.826,231.58,342.04,94.51,76.991,31.783,8.8928,26.741,6.9367,18.636,1.6844,32.81,13.861,24.442,1.3675,18.694,2.2848,4.7773,2.3031,0.01153,0.83414,0.10423,54.165,44.221,63.049,53.807,22.432,60.979,22.436,40.864,30.569,46.322,47.82,41.168,17.765,0
0.28773,3654.9,4522,9.3262,26.945,42.364,2707.8,75.192,120.38,0.34564,79.854,50.33,2637,23.632,51.527,3103.8,22.546,65.771,230.62,342.19,94.554,77.092,32.021,9.0384,26.883,6.8308,18.359,1.6646,33.669,13.806,24.203,1.0788,18.576,2.2312,4.8766,2.3158,0.01153,0.83414,0.10423,54.165,44.221,62.579,53.956,28.017,61.912,22.452,40.477,39.072,50.069,47.93,40.277,19.062,0
0.28495,3634.8,4504.3,9.406,27.017,42.053,2709.5,75.255,120.4,0.34493,79.899,48.704,2638.4,24.169,51.082,3105.7,23.546,65.702,232.77,342.6,94.615,77.52,32.021,9.0384,26.883,6.8308,18.359,1.6646,33.669,13.806,24.203,1.0788,18.576,2.2312,4.8766,2.3158,0.01875,0.84557,0.092485,53.278,44.064,62.925,54.169,28.29,59.466,22.733,40.563,34.286,49.038,47.645,40.947,16.67,0
0.26417,3681.9,4575.6,9.3399,26.926,42.249,2712.9,74.655,120.39,0.33714,80.1,50.423,2641.6,24.592,50.161,3107.8,21.876,65.704,232.27,342.68,94.474,77.373,32.36,8.8461,26.272,6.7076,18.453,1.6326,32.985,13.785,24.331,1.2757,18.233,2.3205,4.7785,2.2608,0.01875,0.84557,0.092485,53.278,44.064,63.04,54.044,26.391,62.995,22.717,40.069,39.345,46.908,47.664,40.912,20.635,0
0.26584,3661,4558.1,9.4095,26.988,42.208,2712.7,74.866,120.41,0.33772,80.039,49.653,2641.5,26.786,49.652,3108.5,22.278,65.71,230.29,343.25,94.5,77.426,32.36,8.8461,26.272,6.7076,18.453,1.6326,32.985,13.785,24.331,1.2757,18.233,2.3205,4.7785,2.2608,0.01875,0.84557,0.092485,53.278,44.064,63.401,54.253,26.227,61.172,22.679,39.998,37.079,45.728,47.813,41.61,19.672,0
0.2306,3699,4515.8,9.4254,26.883,42.268,2713.6,74.1,120.42,0.3346,80.136,48.904,2642.9,26.034,50.867,3110.2,23.093,65.743,231.05,342.66,94.334,77.425,32.674,8.7306,26.137,6.8874,18.253,1.6465,32.775,13.76,23.817,1.2558,18.126,2.2513,4.7812,2.2928,0.01875,0.84557,0.092485,53.278,44.064,63.935,54.59,23.24,61.745,22.749,39.786,34.876,48.54,47.716,41.829,17.722,0
0.23459,3700.6,4542,9.3471,26.862,42.275,2713.6,75.348,120.44,0.33488,80.205,50.769,2643.1,23.246,49.917,3108.7,21.472,65.752,230.92,342.86,94.346,77.338,32.674,8.7306,26.137,6.8874,18.253,1.6465,32.775,13.76,23.817,1.2558,18.126,2.2513,4.7812,2.2928,0.01875,0.84557,0.092485,53.278,44.064,63.907,54.276,22.848,60.289,22.819,39.752,40.362,46.342,47.697,42.28,21.559,0
0.19712,3667.9,4562.6,9.3937,27.011,42.088,2707.4,75.324,120.38,0.33493,79.758,50.281,2635.4,25.277,48.961,3104.8,23.64,65.742,233.01,342.65,94.542,76.809,31.837,8.8098,26.795,7.0029,18.283,1.6377,32.998,13.708,23.988,1.3874,18.526,2.2381,4.7858,2.3016,0.026425,0.81985,0.10648,53.786,44.148,62.973,54.592,19.89,61.201,22.333,38.996,38.926,44.129,47.783,40.269,16.48,0
0.2018,3671.9,4569.5,9.3971,26.886,42.206,2708,75.172,120.4,0.32852,79.807,49.814,2637.1,24.691,50.612,3102.8,22.151,65.668,232.92,342.76,94.542,77.417,31.837,8.8098,26.795,7.0029,18.283,1.6377,32.998,13.708,23.988,1.3874,18.526,2.2381,4.7858,2.3016,0.026425,0.81985,0.10648,53.786,44.148,62.902,54.51,19.431,62.213,22.924,39.779,37.553,47.95,47.898,42.086,19.989,0
